feature,HOSP_001,HOSP_002,HOSP_003,HOSP_004
__bias__,7.563299,7.05785,6.024676,5.66056
accel,0.157295,-0.033142,0.118373,0.132435
cv_30,0.173971,0.132959,-0.030282,-0.010035
day,0.227069,0.004724,0.036106,-0.00433
dayofweek,0.619086,0.37937,0.11603,0.097323
dayofyear,0.021548,-0.046342,-0.001849,0.010927
dow_cos,0.278591,0.207282,0.071848,0.080744
dow_sin,0.084657,0.040492,0.050302,0.05815
drug_M01AB,-0.434256,-0.154651,-0.007824,0.009725
drug_M01AE,-0.407197,-0.326402,-0.029058,-0.124126
drug_N02BA,-0.436219,-0.28416,-0.040104,-0.064217
drug_N02BE,2.771459,1.825752,0.497607,0.477792
drug_N05B,0.120967,-0.03059,-0.045007,0.110103
drug_N05C,-0.757267,-0.54884,-0.17102,-0.159111
drug_R03,-0.29703,-0.1488,-0.147626,-0.112604
drug_R06,-0.560457,-0.332309,-0.056968,-0.137562
drug_share_lag1,-1.086593,-0.814544,-0.341305,-0.121586
is_month_end,-0.16588,0.011229,0.033458,-0.010189
is_month_start,0.123145,0.148978,0.012335,0.01436
is_weekend,-0.038149,0.249398,-0.006417,0.039118
lag_1,1.110683,0.800386,1.304862,1.394264
lag_14,0.619401,0.909475,1.069437,1.312124
lag_2,0.585161,0.310523,0.657963,0.642079
lag_28,0.379052,1.068581,0.836129,1.121213
lag_3,0.228827,-0.214858,0.138453,0.032387
lag_7,0.5924,0.715319,1.123701,1.268922
market_lag1,-0.338425,-0.135418,-0.260013,-0.340455
mom_1_7,0.127083,-0.051635,-0.013632,-0.021709
month,-0.04829,-0.059119,0.00044,0.010599
month_cos,-0.381529,-0.135026,-0.055112,-0.066405
month_sin,-0.351896,-0.16277,-0.050293,-0.066146
quarter,0.149701,0.024809,-0.001913,-0.0461
roll_max_14,0.852156,-0.229377,0.224254,0.090934
roll_max_30,-0.784394,0.073272,0.590871,0.33778
roll_max_7,0.930007,0.361609,0.00956,0.065349
roll_mean_14,1.812924,3.381459,1.635258,1.536474
roll_mean_30,3.970748,3.056113,1.577925,1.405163
roll_mean_7,4.099578,3.095854,1.62431,1.441139
roll_min_14,-0.399565,-1.032456,-0.297931,-0.142656
roll_min_30,-0.240028,-0.53721,-0.124377,-0.348663
roll_min_7,-1.601695,-0.333646,-0.122674,0.302776
roll_std_14,-0.469579,-0.696437,-0.050195,-0.110627
roll_std_30,0.618674,0.261714,0.786436,0.290359
roll_std_7,-1.573504,-0.892672,-0.345284,-0.357782
trend_7_30,0.963635,0.457065,0.359894,0.294957
weekofyear,-0.029576,-0.019774,0.007971,-0.018379
wow_diff,0.824921,0.13538,0.28832,0.199471
year,-0.001152,0.005437,0.00782,0.007277
